,id,lender_norm1,status,business description
91,88,Italian RPA,,
92,89,"Revlon, Inc",Reorganizing,"Revlon, Inc., together with its subsidiaries, develops, manufactures, markets, distributes, and sells beauty and personal care products worldwide. The company's Relvon segment offers color cosmetics and beauty tools under the Revlon brand; and hair color under the Revlon ColorSilk and Revlon Professional brands. Its Elizabeth Arden segment markets, distributes, and sells skin care products under the Elizabeth Arden Ceramide, Prevage, Eight Hour, SUPERSTART, Visible Difference, and Skin Illuminating brands; and fragrances under the Elizabeth Arden White Tea, Elizabeth Arden Red Door, Elizabeth Arden 5th Avenue, and Elizabeth Arden Green Tea brands. The company’s Portfolio segment offers color cosmetics under the Almay and SinfulColors brands; men’s grooming products under the American Crew brand; nail polishes, gel nail color, and nail enhancements under the CND brand; nail care products under the Cutex brand; anti-perspirant deodorants under the Mitchum brand; hair care products under the Creme of Nature; and hair color line under the Llongueras brand. Its Fragrances segment develops, markets, and distributes owned and licensed fragrances, as well as distributes prestige fragrance brands owned by third parties. This segment offers its products under the Juicy Couture, John Varvatos, AllSaints, Britney Spears, Elizabeth Taylor, Christina Aguilera, Jennifer Aniston, Mariah Carey, Curve, Giorgio Beverly Hills, Ed Hardy, Charlie, Lucky Brand, Alfred Sung, Halston, Geoffrey Beene, and White Diamonds brands. It sells its products through sales force, sales representatives, independent distributors, mass and prestige retail, e-commerce sites, department stores, and specialty cosmetics stores, as well as licenses its Revlon and other trademarks to the manufacturers of complementary beauty-related products and accessories. Revlon, Inc. was founded in 1932 and is based in New York, New York. On June 15, 2022, Revlon, Inc., along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the Southern District of New York."
93,90,BankBoston,Acquired,"As a result of the acquisition of FleetBoston Financial Corp. by Bank of America Corp. (DE) on April 1, 2004, BankBoston, S.A. was acquired by Bank of America Corp. (DE). BankBoston S.A. is a commercial bank that provides debt capital raising, corporate finance, foreign exchange services, derivatives, international cash management, trade, and fiduciary services. The bank structures trade financing programs for clients through export guarantee programs, such as Latin America Integration Association (ALADI) and the U.S. Export-Import (EX-IM) Bank. BankBoston caters to local and multinational corporations, government agencies, banks, and institutional investors. The bank was founded in 1995 and is based in Mexico City."
94,91,Lehman Commercial Paper Inc,Operating Subsidiary,"Lehman Commercial Paper, Inc. operates as a commercial money market dealer and it offers financial services. The company buys & sells commercial paper & other money market instruments for its clients. Lehman Commercial Paper, Inc. is based in Jersey City, New Jersey. Lehman Commercial Paper, Inc. operates as a subsidiary of Lehman Brothers Inc."
95,92,"TPG Specialty Lending, Inc.",,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits."
96,93,RBS Citizens NA,Operating Subsidiary,"Citizens Bank, National Association provides retail and commercial banking products and services to individuals, small businesses, middle-market companies, corporations, and institutions in the United States. Its consumer banking products and services include deposit products, mortgage and home equity lending products, credit cards, business loans, wealth management, and investment services; and auto, education, and point-of-sale finance loans, as well as digital deposit products. The company’s commercial banking products and services comprise various financial products and solutions, including lending and leasing, deposit and treasury management services, foreign exchange, and interest rate and commodity risk management solutions, as well as syndicated loans, corporate finance, mergers and acquisitions, and debt and equity capital markets services. It serves government banking, not-for-profit, healthcare, technology, professionals, oil and gas, asset finance, franchise finance, asset-based lending, commercial real estate, private equity, and sponsor finance industries. It operates approximately 900 branches in 11 states in the New England, as well as Mid-Atlantic and Midwest regions; 114 retail and commercial non-branch offices in national markets; and approximately 3,000 automated teller machines. Citizens Bank, National Association is headquartered in Providence, Rhode Island. Citizens Financial Group, Inc. Citizens Bank, National Association operates as a subsidiary of Citizens Financial Group, Inc."
97,94,UBS AG Stamford Branch,,
98,95,BNP Paribas SA,,"BNP Paribas SA provides a range of banking and financial services in Europe, North America, Asia Pacific, and internationally. The company offers corporate and institutional banking services, such as consulting, financing and transaction banking for corporate clients and institutional investors; capital markets investment and financing; securities clearing, and custody services. It also provides commercial, and personal banking and services, including financing and leasing services, financing of individuals, and digital banking services, as well as current and savings account products, equipment leasing and financing solutions, and consumer loans. In addition, the company offers investment and protection services, which includes borrowers’ insurance, which protects the insured party from the unexpected when taking out a mortgage, personal, auto, or consumer loan; savings and protection solutions comprising life insurance, employee savings, retirement savings, etc.; asset management, wealth management, and real estate services. The company was formerly known as Banque Nationale de Paris and changed its name to BNP Paribas SA in May 2000. BNP Paribas SA was founded in 1822 and is headquartered in Paris, France."
99,96,Residential Funding Corporation,,No business description exists.
100,97,AIB Capital Markets,,No business description exists.
101,98,JWPR Corporation,Operating Subsidiary,JWPR Corporation operates as a subsidiary of Sealed Air Corporation.
102,99,"Laurus Master Fund, Ltd",,No color notes exists.
103,100,NBD Bank NA,Acquired,"Bank One, Florida was acquired by Bank One, National Association (Chicago, IL). Bank One, Florida provides banking solutions. The company's deposits include brokered deposits which represent funds. The bank provides commercial and industrial loans and consumer loans. The bank offers consumer loans, including personal loans. The company offers commercial real estate loans for land development and on-site construction of industrial, commercial, residential, or farm buildings in the United States and real estate-backed residential loans. The company was formerly known as Nbd Bank and changed its name to Bank One, Florida in May 1999. Bank One, Florida was founded in 1999 and is based in Venice, Florida."
104,101,National City Business Credit,,
105,102,BNP Paribas Fortis ,Operating Subsidiary,"BNP Paribas Fortis SA provides various financial services in Belgium, Luxembourg, Turkey, and internationally. The company accepts on-demand deposits, current and savings accounts, term accounts and short-term notes, and repurchase agreements. It also offers debit and credit cards, personal loans, and investment and insurance products; international trade finance, asset and cash management, credit services, currency hedging, interest and commodity risk, structured finance, factoring, and leasing services; and transaction and investment banking services, as well as Internet, phone, and mobile banking services. In addition, the company offers vehicle leasing and professional equipment leasing, real estate, and securities services; wealth and financial management services comprising investment advice, discretionary management, wealth planning and organization, financing, asset diversification advisory services; and real estate services consisting of property management, expertise, advice, transactions, property development, and investment management. It offers its products and services to private individuals, members of the professions, the self-employed, small and medium-sized enterprises, high net worth individuals, corporations, and public and financial institutions through operating a network of 386 branches, 16 banks for entrepreneur centers, 226 Fintro branded branches and 657 sales points, and 1,215 ATMs. The company was incorporated in 1934 and is headquartered in Brussels, Belgium. BNP Paribas Fortis SA operates as a subsidiary of BNP Paribas SA."
106,103,First Chicago,,"First Chicago Advisors, Inc. operates as an investment banks, brokers and capital markets company. It was founded in 2005 and is headquartered in Chicago, Illinois."
107,104,Societe Generale SA,,"Société Générale Société anonyme provides financial services to individual, business, and institutional investors in Europe and internationally. It offers retail banking services under the Societe Generale, Credit du Nord, and Boursorama brand names; and insurance, investor, and other financial services. The company was founded in 1864 and is based in Paris, France."
108,105, Congress Financial Corporation,Acquired,"Congress Financial Corporation (Florida) was acquired by Wells Fargo Bank, National Association. Congress Financial Corporation (Florida) is a specialty finance company that offers asset-based finance to corporations. The company is based in New York, New York."
109,106,VIP Acquisition,,
110,107,"Rosenthal & Rosenthal, Inc",Operating Subsidiary,No color notes exists.
111,108,DZ Bank,,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main provides various financial products and services to retail, corporate, and institutional customers in Germany and internationally. The company operates through BSH, R+V, UMH, TeamBank, DZ BANK – central institution and corporate bank, DZ HYP, DZ PRIVATBANK, VR Smart Finanz, and DVB segments. It offers retail banking services, including security papers, payments, and cards, as well as derivatives for financial experts. The company also provides loans and syndicated, working capital, project, receivables, equity, acquisition, and trade and export financing; guarantees and sureties, leasing, government grants and subsidies, and debt capital market services; risk management services; transaction banking services; international banking services, including payments, letters of credit, documentary collections, bank guarantees, and import and export finance; investment management products comprising money market deposits, company pension schemes, investment in securities, asset management, asset, and structured investments services; and corporate finance/mergers and acquisitions (M&A) advisory services, including advice on company sale/succession planning, purchase/company acquisition, spin-offs/carve-outs, distressed M&A, and fairness opinion/company valuation services. In addition, it offers capital market, interest rate risk, foreign exchange hedging, and counterparty default risk products, as well as research and investment services. The company was formerly known as DZ Bank AG and changed its name to DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main in August 2016. The company is based in Frankfurt am Main, Germany."
112,109,Bank of America National Trust & Savings,,No business description exists.
113,110,Guaranty Business Credit Corp,,
114,111,Wells Fargo HSBC Trade Bank,Acquired,"As of May 10, 2010, Wells Fargo International Banking & Trade Solutions was acquired by Wells Fargo Bank, National Association. Wells Fargo International Banking & Trade Solutions provides trade financial services for exporters and importers. The company offers products and services including letters of credit, documentary collections, online trade services, online trade finance, short and medium term financing, and forfeiting services. Wells Fargo International Banking & Trade Solutions was formerly known as Wells Fargo HSBC Trade Bank, N.A. The company was founded in 1995 and is based in San Francisco, California."
115,112,Textron Financial Corp,Operating Subsidiary,"Textron Financial Corporation operates as a commercial finance company in the United States, South America, Mexico, and internationally. The company provides financing programs for products manufactured by Textron Inc. It offers loans and finance leases to purchasers of new and used Cessna aircraft and Bell helicopters; and loans and finance leases secured by used aircraft produced by other manufacturers. The company also provides loan and lease programs for golf equipment comprising golf cars, specialty vehicles, and turf equipment to golf course owners, club managers, and superintendents. In addition, it manages a portfolio of receivables from various businesses, including asset-based lending, distribution finance, golf mortgage finance, resort finance, and structured capital. Textron Financial Corporation was founded in 1962 and is based in Wichita, Kansas. Textron Financial Corporation operates as a subsidiary of Textron Inc."
116,113,Credit Lyonnais Leasing International SA,,
117,114,Banc of America Securities LLC,Acquired,"As of November, 01, 2010, Banc of America Securities LLC was acquired by Merrill Lynch, Pierce, Fenner and Smith Incorporated. Banc of America Securities LLC is an investment bank and brokerage firm. The firm offers capital raising, financial advisory, and risk management solutions, bulge-bracket trading and global distribution services, and objective research on global markets and growth sectors to corporations, institutional investors, financial institutions, and government entities. The firm is also a placement agent specializing in private equity placement. Banc of America Securities LLC is based in San Francisco, California. It has offices in San Francisco, New York, and Charlotte."
118,115,CIT Group Plc [Capital & Income Trust],,
119,116,Prudential Commercial Bank,,
120,117,"Ableco Finance, LLC",,
121,118,TransAmerica Business Capital Corp,,
122,119,"CIT Group/Commercial Services, Inc",Liquidating,"The CIT Group/Commercial Services Asia, Limited operates as a subsidiary of CIT Group Inc. The CIT Group/Commercial Services (Asia), Limited is in liquidation."
123,120,Heller Healthcare Finance Inc,,
124,121,APW Ltd.,,"Cavanal Hill Funds - Cavanal Hill Mid Cap Diverse Leadership Fund is an open-end equity mutual fund launched and managed by Cavanal Hill Investment Management, Inc. It invests in public equity markets of the United States. The fund invests in stocks of companies operating across diversified sectors. The fund invests in growth and value stocks of mid-cap companies, within the market capitalization range of the Russell Midcap Index. The fund invests in stocks of companies that are deemed socially conscious in their business dealings and directly promote environmental responsibility. The fund employs quantitative analysis to create its portfolio. The fund seeks to benchmark the performance of its portfolio against the Russell Midcap Index. It employs proprietary research to create its portfolio. The fund does not invest in stocks of companies involved in the production of alcohol, tobacco, military weapons, firearms, nuclear power, thermal coal and gambling products and services sectors. Cavanal Hill Funds - Cavanal Hill Mid Cap Diverse Leadership Fund was formed on December 30, 2016 and is domiciled in the United States."
125,122,"Salus Capital Partners, LLC",Operating Subsidiary,"Salus Capital Partners, LLC, a finance and asset management company, provides secured asset-based loans to the small and middle-market in North America and internationally. The company offers lending services in the areas of manufacturing, jewelry, specialty retail, niche distribution, select service industries, wholesale apparel and garment, commercial supply chain, Internet/E-tailing, direct marketing and catalogue, energy services, transportation, consumer receivables, food and beverage and health and wellness; and furniture finance, debtor-in-possession, and financing growing consumer brands. The company also operates as an asset manager for institutional investors, such as community and regional banks, insurance companies, family offices, and private equity funds and hedge. The company was founded in 2011 and is based in Needham Heights, Massachusetts. Salus Capital Partners, LLC operates as a subsidiary of HGI Asset Management Holdings, LLC."
126,123,MC Admin Co LLC,,"Mc Administration Limited is a real estate operating and management company. It offers real estate property management services. The company was incorporated in 2008 and is based in Wiltshire, United Kingdom."
127,124,CIBC World Markets,Operating Subsidiary,"CIBC World Markets, Inc. offers banking and financial advisory services. It provides cash management, correspondent brokerage, corporate lending, debt and equity financing, mergers and acquisitions, and prime brokerage services. Additionally, the firm offers risk management, sales and trading, securities lending, and securitization services. It caters to energy, financial, government, mining, power and utilities, real estate, and technology and media sectors. The company was incorporated in 1995 and is based in Toronto, Canada. CIBC World Markets, Inc. operates as a subsidiary of Canadian Imperial Bank of Commerce."
128,125,Textron Financial Corporation ,Operating Subsidiary,"Textron Financial Corporation operates as a commercial finance company in the United States, South America, Mexico, and internationally. The company provides financing programs for products manufactured by Textron Inc. It offers loans and finance leases to purchasers of new and used Cessna aircraft and Bell helicopters; and loans and finance leases secured by used aircraft produced by other manufacturers. The company also provides loan and lease programs for golf equipment comprising golf cars, specialty vehicles, and turf equipment to golf course owners, club managers, and superintendents. In addition, it manages a portfolio of receivables from various businesses, including asset-based lending, distribution finance, golf mortgage finance, resort finance, and structured capital. Textron Financial Corporation was founded in 1962 and is based in Wichita, Kansas. Textron Financial Corporation operates as a subsidiary of Textron Inc."
129,126,Greenwich Capital Finance,Operating Subsidiary,"RBS Financial Products Inc. provides personal and commercial lending products. The company was formerly known as Greenwich Capital Financial Products, Inc. and changed its name in April, 2009. RBS Financial Products Inc. was incorporated in 1990 and is based in Stamford, Connecticut. RBS Financial Products Inc. operates as a subsidiary of NatWest Markets Plc."
130,127,UBS Warburg,Operating Subsidiary,"UBS Warburg LLC (Fund Placement Group) is a firm which provides advisory services to limited partners, venture capital, and leveraged buyout funds and is a group within UBS Warburg LLC. The company’s representative clients include AIG Orion, Blackstone Group, Candover Partners Ltd., Capital Partners, Concord Ventures Draper fisher, Jurvetson ePlanet, GE Capital, Pequot Capital, Prime Technology Ventures, Sterling, and Techno Venture Management. UBS Warburg LLC (Fund Placement Group) is based in New York City. UBS Warburg LLC (Fund Placement Group) operates as a subsidiary of UBS Investment Bank."
131,128,Sumitomo Bank,,No business description exists.
132,129,the US EPA,Operating Subsidiary,"GorCorp Inc. provides payment gateway solutions to resellers and their merchants. The company offers EMV, mobile, e-commerce, retail, mail/telephone order, vertical market, and merchant console payment solutions. It serves merchant service banks and check platforms worldwide. The company was founded in 1998 and is based in Glendale, California. As of February 23, 2021, GorCorp Inc. operates as a subsidiary of Network Merchants, LLC."
133,130,Healthcare Business Credit Corp,,
134,131,Finova Capital Corporation,,No color notes exists.
135,132,COLF,,"Enovis Corporation operates as a medical technology company worldwide. It develops, manufactures, and distributes medical device products used by orthopedic specialists, surgeons, primary care physicians, pain management specialists, physical therapists, podiatrists, chiropractors, athletic trainers, and other healthcare professionals to treat patients with musculoskeletal conditions resulting from degenerative diseases, deformities, traumatic events, and sports related injuries. It offers rigid and soft orthopedic bracings, hot and cold therapy products, bone growth stimulators, vascular therapy systems and compression garments, therapeutic shoes and inserts, electrical stimulators used for pain management, and physical therapy products; and a suite of reconstructive joint products for the hip, knee, shoulder, elbow, foot, ankle, and finger. Enovis Corporation sells its products through independent distributors, such as healthcare professionals, consumer retail stores, and pharmacies; and directly under the DJO brand. The company was formerly known as Colfax Corporation. Enovis Corporation is headquartered in Wilmington, Delaware."
136,133,NationsBank of Texas,Acquired,"Nationsbank Of Texas, National Association was acquired by Nationsbank, National Association. Nationsbank Of Texas, National Association offers banking products and services. It offers demand deposits and interest and non-interest bearing time and savings deposits. The bank's deposits include jumbo deposits, deposits in transaction accounts, brokered deposits which represent funds, retail time deposits, and money market deposit accounts. The bank provides commercial and industrial loans, consumer loans, and commercial real estate loans. It offers consumer loans, including personal loans. It offers commercial real estate loans for land development and on-site construction of industrial, commercial, residential, or farm buildings in the United States; real estate-backed residential loans; and commercial loans collateralized by real estate properties. It offers domestic and foreign commercial and industrial loans. The bank offers loans for the purpose of financing agricultural production; loans to other banks, other depository institutions, other associations, companies, and financial intermediaries; loans which include planned and unplanned overdrafts, to governments in non-U.S. countries, to their official institutions, and to international and regional institutions. For 1997, it has an asset value of 60.1 million USD. The company has generated a net income of 729,713 USD in December 31, 1997. The company was formerly known as NCNB Texas National Bank (Dallas, TX) and changed its name to Nationsbank Of Texas, National Association in December 1991. Nationsbank Of Texas, National Association was founded in 1988 and is based in Dallas, Texas."
137,134,GMAC Commercial Finance LLC,Operating Subsidiary,"Ally Corporate Finance LLC provides senior secured loans to private equity-owned and middle-market companies in the United States. It offers various products and services in the areas of asset-based and real estate loans, cash flow financing, healthcare cash flow lending, healthcare real estate and asset-based lending, and consumer products/retail and technology finance. It offers loans to support various financing needs, such as leveraged buyouts, mergers and acquisitions, refinancing, recapitalizations, growth capital, working capital, the debtor in possession, and turnarounds/restructurings. The company serves automotive, business services, distribution, industrials, healthcare, and manufacturing markets. Ally Corporate Finance LLC was formerly known as Ally Commercial Finance LLC and changed its name to Ally Corporate Finance LLC in April 2014. The company was founded in 1999 and is headquartered in New York, New York with regional offices across the United States. Ally Corporate Finance LLC operates as a subsidiary of Ally Financial Inc."
138,135,"GC Financial Services, Inc.",,"G & C Financial Services Limited operates as an investment banks, brokers and capital markets company. It offers stocks and securities underwriting services. The company was incorporated in 2003 and is based in Hampshire, United Kingdom."
139,136,Credit Lyonnais New York,,No color notes exists.
140,137,IBJ Whitehall Business Credit Corp,,
141,138,CCE,,
142,139,"GS Industries, Inc. ",Out of Business,"GS Industries, Inc. went out of business. GS Industries, Inc. produces specialty metal products. It manufactures wire rods used in automotive, construction, and consumer applications; and grinding products and mill liners used in mining industries. The company also offers carbon wire rods, steel grinding balls, abrasion resistant mill liners, and prestressed concrete strands. GS Industries, Inc. was founded in 1995 and is based in Charlotte, North Carolina. It has manufacturing operations in South Carolina; Kansas City, Missouri; and Minneapolis, Minnesota; as well as Chile, Peru, and Italy."
143,140,International Development Bank,,"International Development Bank for Investment and Finance, an Iraqi financial institution, provides various banking services and products to companies, small and medium enterprises, and individuals in Iraq, Lebanon, and the United Arab Emirates. It offers retail banking products and services that include current accounts, debit cards, remittance services, and billing and collection services; and personal, travel, and mobile loans. The company also provides corporate banking products and services that include overdraft facilities and direct loans; letters of guarantee and letters of credit for imports and exports; remittance services; billing and collection services; payroll and cash management services; and project financing and syndications services. In addition, it offers online cash management, mobile banking, and Internet banking services. The company was founded in 2011 and is based in Baghdad, Iraq with branches in Shorjah, Al Mansour, Rabii, Jamila, Suleimaniya, Erbil, Basra, Karbala, Najaf Al-Ashraf, Al Kut, Nasiriyah, Hillah, and Amara, Iraq, as well as representative offices in Beirut, Lebanon; and Dubai, United Arab Emirates."
144,141,"Cerberus Business Finance, LLC",,
145,142,North Fork Business Capital,,
146,143,ACF FinCo I LP,,
147,144,Healthcare Finance Group Inc,,"Healthcare Finance Group Inc. is headquartered in Manhattan, New York."
148,145,Jefferies Finance LLC,Operating Subsidiary,"Jefferies Finance LLC operates as a commercial finance company that structures, underwrites, and syndicates primarily senior secured loans to corporate borrowers. The company operates through two business lines, Leveraged Finance Arrangement, and Portfolio and Asset Management. It also acts as an investment advisor for various loan funds; and manages proprietary and third-party investments in middle market and syndicated loans. The company was incorporated in 2004 and is based in New York, New York."
149,146,"Encina Business Credit, LLC",,"Eclipse Business Capital LLC operates as a non-bank asset-based lender for both privately owned and publicly traded companies. The company offers credit and term loans. It serves manufacturing, retail, automotive, oil and gas, services, distribution, and consumer products industries. Eclipse Business Capital LLC was formerly known as Encina Business Credit, LLC and changed its name to Eclipse Business Capital LLC in August 2021. Eclipse Business Capital LLC was incorporated in 2015 and is based in Chicago, Illinois with additional locations in New York, New York; Charlotte, North Carolina; Houston, Texas; and Los Angeles and San Francisco, California."
150,147,"Gordon Energy Servicer, LLC",,
151,148,Global GP LLC ,,No business description exists.
152,149,Windmill Funding Corporation,,"Windmill Funding Corporation is based in New York, New York."
153,150,"GMAC Commercial Finance, LLC",,"GMAC Commercial Finance, LLC, Resort Finance Business comprises the resort finance business. The asset provides finance solutions for resort sector."
154,151,Morgan Guaranty Trust,Acquired,"As of November 10, 2001, Morgan Guaranty Trust Company Of New York was acquired by JPMorgan Chase Bank, National Association."
155,152,Natixis SA [Ex-Natexis Banques Populaires],,
156,153,UBS Securities LLC,Operating Subsidiary,"UBS Securities LLC operates as an investment banks, brokers and capital markets company. It is a global investment bank. The company was formerly known as United Bank of Switzerland and changed its name to UBS Securities LLC in 2012. The company was founded in 1969 and is based in New York, New York. UBS Securities LLC operates as a subsidiary of UBS Americas Inc."
157,154,GMAC Commercial Credit LLC,Acquired,"GMAC Commercial Credit LLC was acquired by Ally Corporate Finance LLC. GMAC Commercial Credit LLC is a diversified financial services company. GMAC Commercial Credit LLC was formerly known as Bank of New York Financial Corporation and changed its name to GMAC Commercial Credit LLC in July 1999 as a result of the acquisition of Bank of New York Financial Corp. by General Motors Acceptance Corp. The company is based in New York, New York. As of July 22, 1999, GMAC Commercial Credit LLC is a former subsidiary of Ally Financial Inc."
158,155,Lloyds Bank Commercial Finance Limited,Operating Subsidiary,"Lloyds Bank Commercial Finance Limited provides receivables finance and asset-based lending to commercial customers in the United Kingdom. Its financing solutions include invoice financing, factoring, invoice discounting, asset-based lending, asset financing, hire purchase and leasing, enterprise finance guarantees, and recruitment and payroll financing, as well as debtor insurance. The company also acts as an agent to service loans on behalf of Lloyds Bank plc. Lloyds Bank Commercial Finance Limited was formerly known as Lloyds TSB Commercial Finance Limited and changed its name to Lloyds Bank Commercial Finance Limited in September 2013. The company was incorporated in 1962 and is based in Banbury, United Kingdom. Lloyds Bank Commercial Finance Limited operates as a subsidiary of Lloyds Bank plc."
159,156,Guaranty Federal Bank,Out of Business,No business description exists.
160,157,Saberasu Japan Investments II BV,,
161,158,Coast Business Credit,Out of Business,"Coast Business Credit ceased operations in 2003. Coast Business Credit (CBC) provides asset based lending to manufacturers, wholesalers, distributors, retailers, importers, technology, and service companies. The company offers revolving lines of credit and term loans secured by accounts receivable, inventory, equipment, industrial real estate, intangibles and intellectual property. Its revolving credit lines and term loans range from $1 million to $30 million. CBC focuses on middle market companies in telecommunications, computer, and software sectors. The company is based in Dallas, Texas. CBC was formerly a subsidiary of Southern Pacific Bank."
162,159,General Motors Acceptance Corp,,"Ally Financial Inc., a digital financial-services company, provides various digital financial products and services to consumer, commercial, and corporate customers primarily in the United States and Canada. It operates through four segments: Automotive Finance Operations, Insurance Operations, Mortgage Finance Operations, and Corporate Finance Operations. The Automotive Finance Operations segment offers automotive financing services, including providing retail installment sales contracts, loans and operating leases, term loans to dealers, financing dealer floorplans and other lines of credit to dealers, warehouse lines to automotive retailers, and fleet financing. It also provides financing services to companies and municipalities for the purchase or lease of vehicles, and vehicle-remarketing services. The Insurance Operations segment offers consumer finance protection and insurance products through the automotive dealer channel, and commercial insurance products directly to dealers. This segment provides vehicle service and maintenance contract, and guaranteed asset protection products; and underwrites commercial insurance coverages, which primarily insure dealers’ vehicle inventory. The Mortgage Finance Operations segment manages consumer mortgage loan portfolio that includes bulk purchases of jumbo and low-to-moderate income mortgage loans originated by third parties, as well as direct-to-consumer mortgage offerings. The Corporate Finance Operations segment provides senior secured leveraged cash flow and asset-based loans to middle market companies; leveraged loans; and commercial real estate product to serve companies in the healthcare industry. The company also offers commercial banking products and services. In addition, it provides securities brokerage and investment advisory services. The company was formerly known as GMAC Inc. and changed its name to Ally Financial Inc. in May 2010. Ally Financial Inc. was founded in 1919 and is based in Detroit, Michigan."
163,160,"GMAC Commercial Finance Credit, LLC",,
164,161,GMAC COMMERCIAL FINANCE LLC,Operating Subsidiary,"Ally Corporate Finance LLC provides senior secured loans to private equity-owned and middle-market companies in the United States. It offers various products and services in the areas of asset-based and real estate loans, cash flow financing, healthcare cash flow lending, healthcare real estate and asset-based lending, and consumer products/retail and technology finance. It offers loans to support various financing needs, such as leveraged buyouts, mergers and acquisitions, refinancing, recapitalizations, growth capital, working capital, the debtor in possession, and turnarounds/restructurings. The company serves automotive, business services, distribution, industrials, healthcare, and manufacturing markets. Ally Corporate Finance LLC was formerly known as Ally Commercial Finance LLC and changed its name to Ally Corporate Finance LLC in April 2014. The company was founded in 1999 and is headquartered in New York, New York with regional offices across the United States. Ally Corporate Finance LLC operates as a subsidiary of Ally Financial Inc."
165,162,NAI,,
166,163,GE Factofrance,Operating Subsidiary,"Factofrance SA provides factoring and securitization services. It engages in the export, cross border, and pan-European operations, as well as provision of receivables management and collection, and credit risk protection services. The company was founded in 1966 and is based in Paris, France. Factofrance SA operates as a subsidiary of Crédit Mutuel Group."
167,164,TransAmerica Finance Corp,,"Goldman Sachs Trust - Goldman Sachs International Small Cap Insights Fund is an open-end equity mutual fund launched and managed by Goldman Sachs Asset Management, L.P. It invests in public equity markets of global ex-US region. The fund invests in stocks of companies operating across diversified sectors. The fund invests in growth and value stocks of small-cap companies. The fund employs fundamental and quantitative analysis to create its portfolio. The fund seeks to benchmark the performance of its portfolio against the MSCI EAFE Small Cap Index (Net, USD, Unhedged). The fund employs proprietary research to create its portfolio. Goldman Sachs Trust - Goldman Sachs International Small Cap Insights Fund was formed on September 28, 2007 and is domiciled in the United States."
168,165,SPCP Group LLC,,No color notes exists.
169,166,"Nomura Corporate Funding America, LLC",,
170,167,Century Business CreditCorporation,,
171,168,"First  Security  Bank,  N.A.",Acquired,No business description exists.
172,169,Foothill Income Trust II LP,,
173,170,"Banc of America Securities, LLC",Acquired,"As of November, 01, 2010, Banc of America Securities LLC was acquired by Merrill Lynch, Pierce, Fenner and Smith Incorporated. Banc of America Securities LLC is an investment bank and brokerage firm. The firm offers capital raising, financial advisory, and risk management solutions, bulge-bracket trading and global distribution services, and objective research on global markets and growth sectors to corporations, institutional investors, financial institutions, and government entities. The firm is also a placement agent specializing in private equity placement. Banc of America Securities LLC is based in San Francisco, California. It has offices in San Francisco, New York, and Charlotte."
174,171,FleetBoston,Acquired,"As of April 1, 2004, FleetBoston Financial Corporation was acquired by Bank of America Corporation. Previously, FleetBoston Financial Corp. operated as the holding company for Fleet National Bank. The bank was engaged in personal financial services, national commercial financial services, regional commercial financial services and investment management, international banking, and capital markets businesses. Personal financial services business included consumer banking, small business, and the credit card unit. National commercial financial business services comprised specialized finance and national banking. Regional commercial financial services and investment management business included regional commercial financial services and investment management. FleetBoston had international banking operations in Brazil and Argentina. Capital markets business included fleet specialist/execution and clearing and principal investing. FleetBoston Financial Corporation is based in Boston, Massachusetts."
175,172,Niagara Therapy (U.K.) Limited,,"Niagara Therapy (U.K.) Pension Trustees Limited operates as a diversified support services company. It offers business support services. It was incorporated in 1978 and is headquartered in Denbigh, United Kingdom."
176,173,Corporate and Investment Bank,,
